Key,English [en-GB],French,German,Spanish
Consoles/CREATE_NEW_LOCAL_SAVE,This save is for multiplayer session. Do you want to create a private save on your console ,Cette sauvegarde est pour une session multijoueur. Souhaitez-vous créer une sauvegarde privée sur votre console ?,Dieser Spielstand ist für eine Mehrspielerpartie. Möchtest du einen privaten Spielstand auf deiner Konsole erstellen?,Este archivo de guardado pertenece a una sesión multijugador. ¿Quieres crear un archivo de guardado privado en tu consola?
Consoles/CREATE_NEW_LOCAL_SAVE_BUTTON,Create New Private Save,Créer une nouvelle sauvegarde privée,Privaten Spielstand erstellen,Crear archivo de guardado privado
Consoles/CREATE_NEW_SAVE_MESSAGE_TITLE,Create New Private Save,Créer une nouvelle sauvegarde privée,Privaten Spielstand erstellen,Crear archivo de guardado privado
Consoles/DEFAULT_SAVE_NAME,Save,Sauvegarder,Speichern,Ahorrar
Consoles/DOWNLOAD_IN_PROGRESS_TEXT,Game files are being downloaded right now. You are not allowed to join multiplayer session until download is finished.,Les fichiers du jeu sont en cours de téléchargement. Vous n'êtes pas autorisé à rejoindre une session multijoueur tant que le téléchargement n'est pas terminé.,"Spieldateien werden gerade heruntergeladen. Sie dürfen der Multiplayer-Sitzung erst beitreten, wenn der Download abgeschlossen ist.",Los archivos del juego se están descargando ahora mismo. No puedes unirte a una sesión multijugador hasta que finalice la descarga.
Consoles/DOWNLOAD_IN_PROGRESS_TITLE,Game download is in progress.,Le téléchargement du jeu est en cours.,Das Spiel wird heruntergeladen.,La descarga del juego está en progreso.
Consoles/Demolitionist_SKIN_ALT,Alternative skin,Déguisement alternatif,Alternatives Kostüm,Traje alternativo
Consoles/ERROR_CORRUPTED_GLOBAL_DATA,We found your GlobalData file corrupted and fixed it. Some of your game settings were changed to default. You can now restore them as they were.,We found your GlobalData file corrupted and fixed it. Some of your game settings were changed to default. You can now restore them as they were.,We found your GlobalData file corrupted and fixed it. Some of your game settings were changed to default. You can now restore them as they were.,We found your GlobalData file corrupted and fixed it. Some of your game settings were changed to default. You can now restore them as they were.
Consoles/ERROR_MULTIPLAYER_00117,"Multiplayer is unavailable, please check your internet connection.","Le mode multijoueur n'est pas disponible, veuillez vérifier votre connexion à Internet.","Mehrspielermodus nicht verfügbar, bitte überprüfe deine Internetverbindung.",El modo Multijugador no está disponible. Comprueba la conexión a internet.
Consoles/ERROR_SIGN_OUT_FROM_PSN_CLIENT,The Player has signed out from PlayStation™Network. Exiting Multiplayer and going to Main Menu.,Le joueur s'est déconnecté de PlayStation™Network. Quittez le mode multijoueur et accédez au menu principal.,Der Player hat sich vom PlayStation™Network abgemeldet. Verlassen Sie den Multiplayer und gehen Sie zum Hauptmenü.,El jugador se ha desconectado de PlayStation™Network. Salir del modo multijugador e ir al menú principal.
Consoles/ERROR_SIGN_OUT_FROM_PSN_HOST,The Player has signed out from PlayStation™Network. Multiplayer session has been closed. Returning to single player mode.,Le joueur s'est déconnecté de PlayStation™Network. La session multijoueur a été fermée. Retour au mode solo.,Der Player hat sich vom PlayStation™Network abgemeldet. Multiplayer-Sitzung wurde geschlossen. Rückkehr zum Einzelspielermodus.,El jugador se ha desconectado de PlayStation™Network. La sesión multijugador ha sido cerrada. Volviendo al modo de un solo jugador.
Consoles/EULA_HEADER,TWIN SAILS INTERACTIVE END USER LICENSE AGREEMENT,CONTRAT DE LICENCE D'UTILISATEUR FINAL DE TWIN SAILS ,TWIN SAILS INTERACTIVE ENDBENUTZER-LIZENZVERTRAG,CONTRATO DE LICENCIA DE USUARIO FINAL DE TWIN SAILS INTERACTIVE
Consoles/EULA_REJECT,You can not access the game unless you accept the END USER LICENSE AGREEMENT ,Vous ne pouvez accéder au jeu que si vous acceptez le CONTRAT DE LICENCE UTILISATEUR FINAL,"Sie können auf das Spiel nur zugreifen, wenn Sie die ENDBENUTZER-LIZENZVEREINBARUNG akzeptieren",No puede acceder al juego a menos que acepte el ACUERDO DE LICENCIA DE USUARIO FINAL
Consoles/FTUE_10_CONTROLLER,"Gloomhaven isn't known for its well-mannered folk and good Samaritans, but there's a lot to gain from its city streets... You can choose to <color=#EACF8C>partake in City Encounters</color> by entering Gloomhaven on map or or press {UI_SUBMIT} to select the entry in the Quest Log. (It's encouraged that you do this whenever you're in the city, as they often give good rewards).","Havrenuit n'est pas connue pour les bonnes manières de ses habitants, ni pour ses bons samaritains. En revanche, il y a beaucoup à gagner dans les rues de la cité... Vous pouvez choisir d'<color=#EACF8C>accepter les événements de ville</color> en entrant dans Havrenuit sur la carte, ou en utilisant {UI_SUBMIT} pour sélectionner l'entrée dans le journal des quêtes (nous vous recommandons de le faire chaque fois que vous revenez à Havrenuit, car ces événements peuvent vous rapporter des récompenses très intéressantes).","Gloomhaven ist nicht gerade für seine rücksichtsvollen Bewohner und guten Samariter bekannt, doch die Straßen der Stadt bieten einige Attraktionen ...Du kannst <color=#EACF8C>an Stadtbegegnungen teilnehmen</color>, indem du Gloomhaven auf der Karte betrittst oder mit {UI_SUBMIT} diesen Eintrag im Quest-Journal auswählst. Da hier gute Belohnungen winken, solltest du diese Gelegenheit bei jedem Stadtbesuch wahrnehmen.","Gloomhaven no es famosa por tener habitantes educados o buenos samaritanos, pero sus calles tienen mucho que ofrecer... Si quieres, puedes <color=#EACF8C>participar en encuentros en ciudad</color> con solo acceder a Gloomhaven en el mapa o pulsar {UI_SUBMIT} para seleccionar la entrada del registro de misiones. (Te animamos a que lo hagas siempre que estés en la ciudad, ya que suelen dar buenas recompensas)."
Consoles/FTUE_12_CONTROLLER,"The <color=#EACF8C>first Quest</color> Location is marked just north of Gloomhaven, you’ll see it flagged with a quest icon. As you progress more quest locations will appear across the map. To keep track of them you can use the Quest Log on the right hand side of the screen.
Select the Black Barrow’s location or use {UI_SUBMIT} to select the entry in the Quest Log.","L'endroit où se déroule la <color=#EACF8C>première quête</color> est situé juste au nord de Havrenuit. Il est signalé par une icône. Au fil de votre progression dans la partie, d'autres lieux liés aux quêtes apparaîtront sur la carte. S'il commence à y en avoir un peu trop, n'hésitez pas à utiliser le journal des quêtes, sur la droite de l'écran, pour vous aider à vous y retrouver.
Sélectionnez le Tertre Noir ou utilisez {UI_SUBMIT} pour sélectionner l'entrée correspondant à la quête dans le journal.","Der Schauplatz der <color=#EACF8C>ersten Quest</color> befindet sich etwas nördlich von Gloomhaven und ist mit einem Symbol markiert. Im Spielverlauf erscheinen immer mehr Quest-Orte auf der Karte. Du kannst sie alle im Quest-Journal verfolgen, das sich auf der rechten Bildschirmhälfte befindet.
Wähle das Schwarzgrab oder benutze {UI_SUBMIT}, um den Eintrag im Quest-Journal auszuwählen.","La ubicación de la <color=#EACF8C>primera misión</color> está al norte de Gloomhaven y aparece marcada con un icono de misión. A medida que avances, aparecerán más ubicaciones de misiones por todo el mapa. Para tenerlas controladas, puedes usar el registro de misiones que está en el lado derecho de la pantalla.
Selecciona la ubicación del Túmulo Negro o usa {UI_SUBMIT} para seleccionar la entrada del registro de misiones."
Consoles/FTUE_2.2_CONTROLLER,Use {UI_PREVIOUS_TAB} to access the <color=#EACF8C>Party Panel</color>.,Utilisez {UI_PREVIOUS_TAB} pour accéder au <color=#EACF8C>panneau de la compagnie</color>.,Rufe mit {UI_PREVIOUS_TAB} das <color=#EACF8C>Gruppenmenü</color> auf.,Pulsa {UI_PREVIOUS_TAB} para acceder al <color=#EACF8C>panel de grupo</color>.
Consoles/FTUE_2_CONTROLLER,"On the left you’ll find the <color=#EACF8C>Party Panel</color>. Here you’ll see the basic information of the Mercenaries in your Party (at least, you will once you add your first Mercenary).
<b>Use {UI_PREVIOUS_TAB} to access the <color=#EACF8C>Party Panel</color>.<b>","Sur la gauche, vous trouverez le <color=#EACF8C>panneau de la compagnie</color>, qui regroupe les infos de base concernant les mercenaires de votre compagnie (du moins, vous le verrez une fois que vous aurez votre premier mercenaire).
<b>Utilisez {UI_PREVIOUS_TAB} pour ouvrir le <color=#EACF8C>panneau de l'effectif</color>.<b>","Links siehst du das <color=#EACF8C>Gruppenmenü</color>. Hier findest du die Eckdaten der Söldner in deiner Gruppe (sobald du den ersten Söldner hinzugefügt hast).
<b>Benutze {UI_PREVIOUS_TAB}, um das <color=#EACF8C>Gruppenmenü</color> aufzurufen.<b>","A la izquierda, verás el <color=#EACF8C>panel de grupo</color>. Aquí podrás ver la información básica de los mercenarios de tu grupo (o, por lo menos, lo harás cuando añadas tu primer mercenario).
<b>Pulsa {UI_PREVIOUS_TAB} para acceder al <color=#EACF8C>panel del grupo</color>.<b>"
Consoles/FTUE_3.2_CONTROLLER,Use {UI_SUBMIT} to <color=#EACF8C>select the “New Mercenary” button</color> and create a character,Appuyez sur {UI_SUBMIT} pour <color=#EACF8C>sélectionner le bouton « Nouveau mercenaire »</color> et vous créer un personnage,"Wähle mit {UI_SUBMIT} die Option <color=#EACF8C>""Neuer Söldner""</color>, um einen Charakter zu erstellen",<color=#EACF8C>Selecciona el botón Nuevo mercenario</color> y pulsa {UI_SUBMIT} para crear un personaje.
Consoles/FTUE_3_CONTROLLER,"You’ll find all your Mercenaries and add them to the Party through the Roster Panel. Right now it’s looking as barren as the Copperneck Mountains, use {UI_SUBMIT} to <color=#EACF8C>select the “New Mercenary” button</color> and create your first character!","Le panneau de l'effectif vous permet de voir tous vos mercenaires et de les ajouter à votre compagnie. Pour le moment, il est tout aussi désert que les hauteurs des Crêtes de Cuivre, alors, utilisez {UI_SUBMIT} pour <color=#EACF8C>sélectionner le bouton « Nouveau mercenaire »</color> et créez votre premier personnage !","Im Personalmenü findest du alle Söldner und kannst sie der Gruppe hinzufügen. Es sieht derzeit ähnlich karg aus wie die Kupfernackenberge, also wähle mit {UI_SUBMIT} <color=#EACF8C>""Neuer Söldner""</color>, um deinen ersten Charakter zu erstellen!","Encontrarás a todos tus mercenarios y podrás añadirlos al grupo actual mediante el panel del plantel. Ahora mismo, está tan desértico como las Montañas Cobrizas, así que será mejor que pulses {UI_SUBMIT} para <color=#EACF8C>seleccionar el botón Nuevo mercenario</color> y, así, ¡crear tu primer personaje!"
Consoles/FTUE_5_CONTROLLER,"Next you'll choose one of the <color=#EACF8C>starting Character Classes</color>.
Each one has unique abilities and game style. As you progress you'll Level Up, earning new Ability Cards and unlock more Classes. But remember, looks aren’t everything; Merc’s Ability Cards are what define their actions in battle. Use {CREATOR_SHOW_ABILITY_CARDS} to <color=#EACF8C>select the “Starting Ability Cards”</color> button to make sure this is the right Mercenary for your party.
Once you are sure of your decision, use {UI_SUBMIT} to <color=#EACF8C>select the Mercenary</color> and move forward. ","Vous devez ensuite choisir l'une des <color=#EACF8C>classes de personnage de départ</color>.
Chacune a des capacités et un style de jeu qui lui sont propres. Au fil du jeu, vous gagnerez ensuite des niveaux, qui vous permettront d'acquérir de nouvelles cartes de capacité et de débloquer de nouvelles classes. Mais souvenez-vous que l'apparence physique ne fait pas tout. Les possibilités au combat d'un mercenaire sont définies par ses cartes de capacité. Utilisez {CREATOR_SHOW_ABILITY_CARDS} pour <color=#EACF8C>sélectionner le bouton « Cartes de capacité initiales »</color> afin de vous assurer que ce mercenaire vous convient.
Une fois que votre décision est prise, utilisez {UI_SUBMIT} pour <color=#EACF8C>sélectionner ce mercenaire</color> et continuer. ","Als nächstes wählst du eine der <color=#EACF8C>Charakterklassen</color>.
Jede Klasse hat ihren ganz eigenen Spielstil und besondere Fertigkeiten. Im Spielverlauf erreichen Charaktere höhere Stufen und verdienen sich neue Fertigkeitskarten, außerdem schaltest du weitere Klassen frei. Doch auf das Äußere kommt es nicht an: Die Fertigkeitskarten eines Söldners bestimmen, welche Aktionen er im Kampf ausführen kann. Wähle mit {CREATOR_SHOW_ABILITY_CARDS} die <color=#EACF8C>""Startfertigkeitskarten""</color>, um dich zu vergewissern, dass dies der richtige Söldner für deine Gruppe ist.
Wenn du dir sicher bist, dann wähle mit {UI_SUBMIT} den <color=#EACF8C>Söldner</color>, damit es weitergeht. ","Después, elegirás una de las <color=#EACF8C>clases de personaje iniciales</color>.
Cada una tendrá sus propias capacidades y estilo de juego. A medida que progreses, irás subiendo de nivel, adquiriendo cartas de Capacidad y desbloqueando más clases. Pero no olvides que el aspecto no lo es todo. Lo que define las acciones de un mercenario en combate son sus cartas de Capacidad. Pulsa {CREATOR_SHOW_ABILITY_CARDS} para <color=#EACF8C>seleccionar las Cartas de Capacidad de inicio</color> y asegurarte de que se trata del mercenario adecuado para tu grupo.
En cuanto tengas la certeza de a quién quieres elegir, pulsa {UI_SUBMIT} para <color=#EACF8C>elegir al mercenario</color> y continuar. "
Consoles/FTUE_7.2_CONTROLLER,"Use {UI_PREVIOUS_TAB} to access the <color=#EACF8C>Party Panel</color> and select the second character Slot
","Utilisez {UI_PREVIOUS_TAB} pour accéder au <color=#EACF8C>panneau de la compagnie</color>, puis sélectionnez le deuxième emplacement de personnage.","Rufe mit {UI_PREVIOUS_TAB} das <color=#EACF8C>Gruppenmenü</color> auf und wähle dann den zweiten Charakterplatz.
","Pulsa {UI_PREVIOUS_TAB} para entrar en el <color=#EACF8C>panel de grupo</color> y selecciona el segundo espacio de personaje.
"
Consoles/FTUE_7_CONTROLLER,"Use {UI_PREVIOUS_TAB} to select the <color=#EACF8C>Second Character Slot</color> in the Party Panel and create a New Character.
Know that you can't have more than one Merc of the same character class in the party at the same time, so be sure to create a different one!","Utilisez {UI_PREVIOUS_TAB} pour sélectionner le <color=#EACF8C>deuxième emplacement de personnage</color> dans le panneau de la compagnie et créez un nouveau personnage.
Notez que vous ne pouvez pas avoir plus d'un mercenaire de chaque classe dans la compagnie au même moment, alors, assurez-vous d'en créer un différent !","Wähle mit {UI_PREVIOUS_TAB} den <color=#EACF8C>zweiten Charakterplatz</color> im Gruppenmenü, um einen neuen Charakter zu erstellen.
Beachte bitte, dass nur ein Vertreter jeder Charakterklasse in der Gruppe sein darf. Wähle deshalb eine andere Klasse als bei deinem ersten Charakter.","Usa {UI_PREVIOUS_TAB} para seleccionar el <color=#EACF8C>segundo espacio de personaje</color> del panel de grupo y crear un nuevo personaje.
No olvides que no puedes tener más de un mercenario de la misma clase a la vez en un grupo, ¡así que tendrás que crear uno diferente!"
Consoles/FTUE_9.2_CONTROLLER,Use {PREVIOUS_SHIELD_TAB} or {NEXT_SHIELD_TAB} to inspect the Town Options and access <color=#EACF8C>the Merchant's Shop</color>,Utilisez {PREVIOUS_SHIELD_TAB} ou {NEXT_SHIELD_TAB} pour inspecter les possibilités offertes en ville et accéder à la <color=#EACF8C>boutique du marchand</color>.,Mit {PREVIOUS_SHIELD_TAB} oder {NEXT_SHIELD_TAB} rufst du die Stadtoptionen auf und kannst den <color=#EACF8C>Laden des Händlers</color> betreten.,Usa {PREVIOUS_SHIELD_TAB} o {NEXT_SHIELD_TAB} para inspeccionar las opciones de la ciudad y acceder a <color=#EACF8C>la tienda del comerciante</color>.
Consoles/FTUE_9.3_CONTROLLER,"When ready, <color=#EACF8C>return to World Map</color>","Lorsque vous êtes prêt, <color=#EACF8C>retournez à la carte du monde</color>.","Wenn du bereit bist, <color=#EACF8C>kehre zur Weltkarte</color> zurück.","Cuando lo tengas todo listo, <color=#EACF8C>vuelve al mapamundi</color>."
Consoles/GUI_ABILITY_FULLY_ENHANCED,This Ability is <color=#5FD6E5>fully Enhanced</color>,Cette carte de capacité <color=#5FD6E5>a été pleinement améliorée</color>,Diese Fertigkeitskarte wurde <color=#5FD6E5>vollständig verbessert</color>.,Esta carta de Capacidad está <color=#5FD6E5>completamente mejorada</color>.
