Key,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl],
Voidwarden_STRENGTHS,"- <indent=%15>Large starting hand size</indent>
- <indent=%15>Works better in larger parties</indent>
- <indent=%15>Wide array of bottom half abilities</indent>","- <indent=%15>Main de départ importante</indent>
  - <indent=%15>Plus efficace dans les compagnies importantes</indent>
  - <indent=%15>Grand nombre d'actions inférieures</indent>","- <indent=%15>Viele Starthandkarten</indent>
  - <indent=%15>Besser für größere Gruppen geeignet</indent>
  - <indent=%15>Große Bandbreite an Fertigkeiten der unteren Hälfte</indent>","— <indent=%15>Mano inicial de gran tamaño.</indent>
  — <indent=%15>Funciona mejor en grupos grandes.</indent>
  — <indent=%15>Amplio abanico de capacidades de la mitad inferior.</indent>","- <indent=%15>Duża ręka startowa</indent>
- <indent=%15>Lepiej się sprawdza w większych drużynach</indent>
- <indent=%15>Zróżnicowane zdolności w dolnej połowie</indent>",
Voidwarden_WEAKNESSES,"- <indent=%15>Generally slow character</indent>
- <indent=%15>Reasonably squishy</indent>
- <indent=%15>Complicated skincare regime</indent>","- <indent=%15>Personnage assez lent</indent>
  - <indent=%15>Résistance assez faible</indent>
  - <indent=%15>Nécessite des soins de la peau permanents</indent>","- <indent=%15>Allgemein langsamer Charakter</indent>
  - <indent=%15>Ziemlich schwammig</indent>
  - <indent=%15>Komplizierte Hautpflege</indent>","— <indent=%15>Por lo general, es un personaje lento.</indent>
  — <indent=%15>Bastante blando.</indent>
  — <indent=%15>Sigue una rutina para el cuidado de la piel complicada.</indent>","- <indent=%15>Dość powolna</indent>
- <indent=%15>Podatna na obrażenia</indent>
- <indent=%15>Ma problemy z cerą</indent>",
Hatchet,Hatchet,Lanceur de haches,Axtwerfer,Ejecutor,Topór,
Hatchet_ROLE,Ranged Damage,DPS à distance,Fernkampfschaden,Daño a distancia,Obrażenia dystansowe,
Hatchet_DIFFICULTY,Low,Faible,Leicht,Baja,Niska,
Hatchet_ADVENTURE_DESCRIPTION,"While any normal Inox may be valued in Gloomhaven for their brute strength and endurance with manual labour, if you want to be a successful mercenary in the city, sometimes a little more finesse is required. Hatchets have fully embraced life in the city, outfitting themselves in the latest fashions. It is all a bit of a front though, as their true passion lies in their arsenal. No one is a better marksman with a throwing axe, and if anybody wants to challenge their claim, they had better be prepared for a duel to the death!","Même si tous les Inox trouvent facilement du travail en raison de leur grande force physique et de leur endurance hors du commun, quand on veut devenir mercenaire et en vivre, un peu de finesse ne peut pas faire de mal. Le Lanceur de haches s'est parfaitement intégré à la vie citadine et s'habille souvent à la dernière mode. Mais sa véritable passion, c'est son arsenal. Nul ne lui arrive à la cheville pour ce qui est du lancer de haches, et quiconque s'amuserait à prétendre le contraire a intérêt à être prêt à devoir livrer un combat à mort.","Während gewöhnliche Inox in Gloomhaven für ihre Stärke und Ausdauer bei körperlicher Arbeit geschätzt werden, bedarf es doch ein wenig mehr Finesse, wenn man in der Stadt als Söldner erfolgreich sein will. Axtwerfer haben sich voll und ganz dem Leben in der Stadt verschrieben und kleiden sich nach der neuesten Mode. Natürlich ist das alles bloß Fassade, denn ihre wahre Leidenschaft gilt ihrem Arsenal. Niemand kann besser mit Wurfäxten umgehen, und wer das in Frage stellt, sollte sich auf einen Kampf um Leben und Tod gefasst machen.","Aunque en Gloomhaven aprecian a los inox corrientes por su fuerza bruta y resistencia cuando se trata de trabajo físico, para ser un mercenario de éxito en la ciudad, a veces hace falta un poco más de sutileza. Los Ejecutores han abrazado plenamente la vida en la ciudad y van vestidos a la última moda. En cualquier caso, no deja de ser todo fachada, ya que su verdadera pasión es su arsenal. Nadie los supera en el lanzamiento de hachas, y si alguien se atreve a poner en duda esta afirmación, será mejor que esté preparado para un duelo a muerte.","Choć każdy normalny Inoks byłby ceniony w Gloomhaven z powodu swej siły i wytrzymałości potrzebnej do prac fizycznych, to profesja najemnika wymaga odrobinę więcej finezji. Topory w pełni przystosowały się do życia w mieście, demonstrując to podążaniem za najnowszą modą. Stanowi to jednak pewien pozór, ponieważ ich prawdziwą pasję stanowi ich arsenał. Nikt lepiej nie rzuca toporami, a jeśli ktoś twierdzi inaczej, lepiej niech przygotuje się do pojedynku na śmierć i życie.",
Hatchet_STRENGTHS,"- <indent=%15>Great Ranged Damage</indent>
- <indent=%15>Reasonable array of varied secondary abilities</indent>
- <indent=%15>Has a couple of Favourite Axes</indent>","- <indent=%15>Excellents dégâts à distance</indent>
  - <indent=%15>Bonne variété de capacités secondaires</indent>
  - <indent=%15>Une ou deux haches de prédilection</indent>","- <indent=%15>Höherer Fernkampfschaden</indent>
  - <indent=%15>Große Auswahl an verschiedenen Nebenfertigkeiten</indent>
  - <indent=%15>Hat ein paar Lieblingsäxte</indent>","— <indent=%15>Gran daño a distancia.</indent>
  — <indent=%15>Abanico razonable de capacidades secundarias variadas.</indent>
  — <indent=%15>Tiene un par de hachas favoritas.</indent>","- <indent=%15>Świetne obrażenia dystansowe</indent>
- <indent=%15>Spory arsenał zdolności dodatkowych</indent>
- <indent=%15>Ma parę Ulubionych toporków</indent>",
Hatchet_WEAKNESSES,"- <indent=%15>Should try and keep out of the front line</indent>
- <indent=%15>Needs to go pick his axes up after use</indent>
- <indent=%15>Hasn't been able to remove their hat since childhood</indent>","- <indent=%15>Ferait mieux d'éviter le premier rang</indent>
  - <indent=%15>Doit aller ramasser ses haches après les avoir lancées</indent>
  - <indent=%15>N'a pas pu enlever son chapeau depuis son enfance</indent>","- <indent=%15>Sollte nicht in vorderster Linie stehen</indent>
  - <indent=%15>Muss seine Äxte nach dem Einsatz wieder einsammeln</indent>
  - <indent=%15>Hat seinen Hut seit der Kindheit nicht mehr abnehmen können</indent>","— <indent=%15>Debería tratar de mantenerse fuera del frente de ataque.</indent>
  — <indent=%15>Tiene que recoger las hachas después de lanzarlas.</indent>
  — <indent=%15>No ha podido quitarse el sombrero desde que era pequeño.</indent>","- <indent=%15>Powinien trzymać się z tyłu</indent>
- <indent=%15>Musi podnosić toporki po użyciu</indent>
- <indent=%15>Od dzieciństwa nie może zdjąć kapelusza</indent>",
Red Guard,Red Guard,Garde Rouge,Rotgardist,Guardia rojo,Czerwony Strażnik,
Redguard_ROLE,Tank,Tank,Tank,Tanque,Czołg,
Redguard_DIFFICULTY,Low,Faible,Leicht,Baja,Niska,
Redguard_ADVENTURE_DESCRIPTION,"There is a specific caste in the Valrath capital of Jhinda tasked with protecting the city. It is a prestigious position and one not easily lived up to. Outcast from Jhinda for unknown crimes, the Red Guard found it too difficult to part from their identity as a protector, keeping the distinctive red armor, as well as their chained sickle and shield. The only place to find work was as a mercenary in Gloomhaven, and maybe, just maybe, by standing on the front lines and keeping their allies from harm, the Red Guard will find some way to redeem themselves. Not in the eyes of the Jhinda culture, which has permanently turned its back, but at least within their own esteem.","À Jhinda, capitale des Valraths, il existe une caste spéciale chargée de protéger la cité. Il s'agit d'un poste prestigieux, mais ceux qui l'occupent ont d'énormes responsabilités. Banni de Jhinda pour des crimes que lui seul connaît, le Garde Rouge n'a jamais pu se défaire de son travail de protecteur, allant jusqu'à conserver son armure rouge, ainsi que sa faucille et son bouclier reliés par une chaîne. Il n'y a qu'à Havrenuit qu'il a réussi à se faire engager comme mercenaire, et il espère se racheter en protégeant ses compagnons d'armes. Pas aux yeux des siens, qui lui ont définitivement tourné le dos, mais il espère au moins regagner une certaine estime de soi.","In der Valrath-Hauptstadt Jhinda ist eine spezielle Kaste mit dem Schutz der Stadt betraut - eine angesehene Position, der nicht jeder gerecht wird. Der Rotgardist wurde für unbekannte Verbrechen aus Jhinda verbannt und hatte Schwierigkeiten, seine Beschützerrolle hinter sich zu lassen. So behielt er die unverkennbare rote Rüstung sowie seine Kettensichel und seinen Schild. Das Schicksal führte den Rotgardisten nach Gloomhaven, wo er als Söldner arbeitet und seine Verbündeten an vorderster Front beschützt, um seine vergangenen Taten zu sühnen. Vielleicht nicht in den Augen der Bewohner von Jhinda, die ihm für immer den Rücken zugekehrt haben, aber wenigstens nach seinem eigenen Ermessen.","Existe una casta específica en la capital de su civilización, Jhinda, con el cometido de protegerla. Es una posición prestigiosa y no es fácil de desempeñar. Desterrado de Jhinda por crímenes desconocidos, al Guardia rojo le resultó muy difícil dejar de lado su función de protector, con lo que conserva su inconfundible armadura roja, así como su hoz con cadena y su escudo. Solo logra encontrar trabajo como mercenario en Gloomhaven y, tal vez, solo tal vez, al luchar en primera línea y mantener a sus aliados a salvo, el Guardia rojo encontrará algún día la redención que busca para perdonarse a sí mismo, aunque no sea a ojos de la cultura Jhinda, que le ha dado permanentemente la espalda.","W Jhindzie, stolicy Valratów, istnieje specjalna kasta, która zajmuje się obroną miasta. To bardzo prestiżowa pozycja i niełatwo sprostać jej wymaganiom. Czerwony Strażnik, wygnany z Jhindy za nieujawnione zbrodnie, nie potrafi odrzucić swej tożsamości obrońcy, więc zachował wyjątkową czerwoną zbroję, a także sierp na łańcuchu, oraz tarczę. Jedynym zajęciem, jakie zdołał znaleźć była praca najemnika w Gloomhaven i istnieje cień szansy, że jeśli będzie walczyć w pierwszym szeregu i chronić swoich sojuszników, to zdoła w jakiś sposób zasłużyć na odkupienie. Nie w oczach jego pobratymców z Jhindy, ale chociaż we własnych.",
Redguard_STRENGTHS,"- <indent=%15>Array of Melee attacks plus some Ranged</indent>
- <indent=%15>Combination of Shield and direct damage dealing close up</indent>
- <indent=%15>Wide Initiative range enables 'double turns'</indent>","- <indent=%15>Nombreuses attaques au corps à corps, et un peu à distance</indent>
  - <indent=%15>Combinaison de bouclier et de dégâts directs de près</indent>
  - <indent=%15>Grand choix d'initiatives permettant de « jouer deux fois »</indent>","- <indent=%15>Auswahl an Nahkampf- und Fernkampfangriffen</indent>
  - <indent=%15>Kombination aus Schild und direktem Schaden</indent>
  - <indent=%15>Große Initiativenbandbreite ermöglicht Doppelzüge</indent>","— <indent=%15>Tiene un abanico de ataques cuerpo a cuerpo y algunos a distancia.</indent>
  — <indent=%15>Combinación de Escudo y daño directo que se inflige de cerca.</indent>
  — <indent=%15>El amplio rango de iniciativa permite turnos dobles.</indent>","- <indent=%15>Zróżnicowane ataki wręcz plus kilka dystansowych</indent>
- <indent=%15>Połączenie Tarczy i możliwości zadawania bezpośrednich obrażeń</indent>
- <indent=%15>Szeroki zakres inicjatyw pozwala na 'podwójne tury'</indent>",
Redguard_WEAKNESSES,"- <indent=%15>Outside of damage, doesn't have many options</indent>
- <indent=%15>May struggle against single larger enemies</indent>
- <indent=%15>Really, and I mean REALLY, likes the colour Red</indent>","- <indent=%15>N'a pas vraiment d'autres options que d'infliger des dégâts</indent>
  - <indent=%15>Peut avoir du mal face aux adversaires de grande taille</indent>
  - <indent=%15>Aime vraiment beaucoup, mais alors BEAUCOUP, le rouge</indent>","- <indent=%15>Kann kaum etwas, außer Schaden zuzufügen</indent>
  - <indent=%15>Kann gegen große Einzelgegner Probleme bekommen</indent>
  - <indent=%15>Rot ist seine absolute Lieblingsfarbe</indent>","— <indent=%15>Más allá del daño, no tiene muchas opciones.</indent>
  — <indent=%15>Puede tener problemas contra enemigos individuales más grandes.</indent>
  — <indent=%15>Le gusta mucho pero que mucho el color rojo.</indent>","- <indent=%15>Nie potrafi wiele poza zadawaniem obrażeń</indent>
- <indent=%15>Może mieć kłopoty z większymi przeciwnikami</indent>
- <indent=%15>Bardzo, ale to BARDZO lubi kolor czerwony!</indent>",
Demolitionist,Demolitionist,Artificier,Sprengmeisterin,Demoledora,Wyburzyciel,
Demolitionist_ROLE,Melee Damage ,DPS au corps à corps,Nahkampfschaden,Daño cuerpo a cuerpo,Obrażenia wręcz,
Demolitionist_DIFFICULTY,Medium,Normale,Mittel,Media,Średnia,
Demolitionist_ADVENTURE_DESCRIPTION,"Even when augmenting themselves with machines of their own creation to destroy anything that stands in their path, Quatryls will still do it with charm and flair. Though they may be small, Demolitionists don't let that hold them back in the least. Between their rocket boots, multitude of bombs, and giant piston fists, they are a force to be reckoned with. Sometimes the only path forward is the one they create themselves. In such cases, it is best to get out of their way.","Même quand ils renforcent leur puissance de frappe à l'aide de machines qu'ils ont eux-mêmes créées, les Quatryls le font avec charme et classe. L'Artificier a beau être petit, il ne fait aucun complexe lié à sa taille. Entres ses bottes fusée, ses bombes innombrables et ses poings pistons géants, il est particulièrement redoutable. Parfois, la seule façon d'avancer est le chemin que l'on se crée. Dans ce cas de figure, il vaut mieux éviter de se trouver sur la route de l'Artificier.","Auch wenn sie sich mit selbst gebauten Maschinen ausrüsten, um alles zu zerstören, was sich ihnen in den Weg stellt, tun Quatryls dies mit Charme und Flair. Sie mögen zwar klein sein, doch Sprengmeister lassen sich davon nicht zurückhalten. Mit ihren Raketenstiefeln, unzähligen Bomben und gigantischen Kolbenfäusten sollte man sie besser nicht unterschätzen. Manchmal ist der einzige Weg nach vorn der, den sie sich selbst bahnen. In solchen Fällen sollte man ihnen besser nicht in die Quere kommen.","Incluso cuando potencian sus capacidades con máquinas de su propia creación diseñadas para destruir cualquier cosa que se interponga en su camino, los quatryls siguen haciéndolo con desparpajo y estilo. Por pequeños que sean, los Demoledores no permiten que el tamaño sea el más mínimo obstáculo para sus ambiciones. Cuando se equipan con sus botas cohete, multitud de bombas y puños de pistón gigantes, se convierten en una fuerza a tener en cuenta. A veces, el único camino a seguir es el que ellos mismos crean, en cuyo caso, lo más recomendable es hacerse a un lado.","Kwatryle zawsze zachowują styl i klasę, nawet jeśli korzystają ze skonstruowanych przez siebie maszyn, aby nieść pożogę i zniszczenie. Choć są niewielkiej postury, Wyburzyciele nie pozwalają, by to ich w jakikolwiek sposób ograniczało. Rakietowe buty, naręcza bomb, a także mechaniczne pięści sprawiają, że lepiej się z nimi liczyć. Czasami jedyna droga to ta, którą stworzą sobie sami. W takich wypadkach lepiej im z tej drogi schodzić.",
Demolitionist_STRENGTHS,"- <indent=%15>Many Direct Damage abilities to smash through Shields</indent>
- <indent=%15>Access to Abilities with STUN</indent>
- <indent=%15>Great at affecting the combat area</indent>","- <indent=%15>Nombreuses capacités de dégâts directs détruisant les boucliers</indent>
  - <indent=%15>Accès à des capacités avec ÉTOURDISSEMENT</indent>
  - <indent=%15>Excellent pour affecter la zone du combat</indent>","- <indent=%15>Viele direkte Schadensfertigkeiten, die Schilde zertrümmern</indent>
  - <indent=%15>Zugang zu Betäubungsfertigkeiten</indent>
  - <indent=%15>Starke Flächenwirkung</indent>","— <indent=%15>Muchas capacidades de daño directo para atravesar Escudos.</indent>
  — <indent=%15>Acceso a capacidades con ATURDIMIENTO.</indent>
  — <indent=%15>Ideal para afectar la zona de combate.</indent>","- <indent=%15>Wiele możliwości zadawania obrażeń i przebijania Tarczy</indent>
- <indent=%15>Dostęp do zdolności z OGŁUSZANIEM</indent>
- <indent=%15>Świetnie radzi sobie z atakami obszarowymi</indent>",
Demolitionist_WEAKNESSES,"- <indent=%15>Small deck size</indent>
- <indent=%15>Limited healing options</indent>
- <indent=%15>Their gloves aren't the most practical everyday attire</indent>","- <indent=%15>Deck limité</indent>
  - <indent=%15>Options de soins réduites</indent>
  - <indent=%15>Ses gants ne sont pas très pratiques dans la vie de tous les jours</indent>","- <indent=%15>Kleines Deck</indent>
  - <indent=%15>Eingeschränkte Heilungsoptionen</indent>
  - <indent=%15>Die Handschuhe sind nicht besonders alltagstauglich</indent>","— <indent=%15>Tamaño del mazo reducido.</indent>
  — <indent=%15>Opciones de curación limitadas.</indent>
  — <indent=%15>Sus guantes no son el atavío más práctico que hay para el día a día.</indent>","- <indent=%15>Mało kart w talii</indent>
- <indent=%15>Ograniczone opcje leczenia</indent>
- <indent=%15>Te rękawice nie są zbyt praktyczne w codziennym życiu</indent>",
Scenario_JOTL_KillAll,Kill all enemies,Tuez tous les ennemis,Tötet alle Gegner.,Elimina a todos los enemigos.,Zabić wszystkich wrogów,
Scenario_JOTL_004_ARitualInStone_Objective_1,Destroy all summoning stones,Détruisez toutes les pierres d'invocation,Zerstört alle Beschwörungssteine.,Destruir todas las piedras de invocación.,Zniszczyć wszystkie kamienia przywołania,
Scenario_JOTL_004_ARitualInStone_Summoning_Stone,Summoning Stone,Pierre d'invocation,Beschwörungsstein,Piedra de invocación,Kamień przywołania,
Scenario_JOTL_004_ARitualInStone_Modifier_1,Summoning Stones can only be targeted by melee attacks.,Les pierres d'invocation ne peuvent être ciblées que par les attaques au corps à corps.,Beschwörungssteine können nur von Nahkampfangriffen anvisiert werden.,Las Piedras de Invocación solo pueden ser objetivo de ataques cuerpo a cuerpo.,Kamienie przywołania mogą być celem tylko ataków wręcz.,
Scenario_JOTL_005_ADeeperUnderstanding_Modifier_1,"Any time anyone except the Blood Tumor suffers damage, the Blood Tumor heals by that amount.","Chaque fois qu'un combattant autre que la Tumeur de Sang subit des dégâts, cette dernière se soigne d'autant.","Wann immer jemand anders Schaden erleidet, heilt sich das Blutgeschwür um den gleichen Betrag.","Cada vez que una figura sufra daño, el Tumor sangriento se cura esa cantidad de daño.","Za każdym razem gdy jakaś postać poza Torbielem otrzyma obrażenia, ten leczy tyle samo obrażeń u siebie.",
Scenario_JOTL_005_ADeeperUnderstanding_Objective_2,Lose if the Blood Tumor reaches its maximum hit point value,Vous perdez si la Tumeur de Sang atteint son maximum de points de vie.,"Sobald das Blutgeschwür seinen maximalen Trefferpunkte-Wert erreicht, hast du verloren.",Pierdes si el Tumor sangriento alcanza su valor máximo de puntos de vida.,"Jeśli Torbiel Krwi kiedykolwiek dojdzie do swojej maksymalnej wartości punktów życia, scenariusz skończy się niepowodzeniem.",
Scenario_JOTL_005_ADeeperUnderstanding_Objective_1,Kill the Blood Tumor,Tuez la Tumeur de Sang,Tötet das Blutgeschwür.,Matar al Tumor sangriento.,Zabić Torbiela Krwi,
Scenario_JOTL_006_CorruptedResearch_Objective_1,Destroy all growths,Détruisez toutes les excroissances,Zerstört alle Wucherungen.,Destruir todos los brotes.,Zniszczyć wszystkie narośle,
Scenario_JOTL_006_CorruptedResearch_Growth,Growth,Excroissance,Wucherung,Brote,Narośl,
Scenario_JOTL_008_HiddenTumor_Modifier_1,"Any time anyone other than the Blood Tumor suffers damage, the Blood Tumor heals itself for that amount of damage.","Chaque fois qu'un combattant autre que la Tumeur de Sang subit des dégâts, cette dernière se soigne d'autant.","Wann immer jemand anders Schaden erleidet, heilt sich das Blutgeschwür um den gleichen Betrag.","Cada vez que una figura sufra daño, el Tumor sangriento se cura esa cantidad de daño.","Za każdym razem gdy jakaś postać poza Torbielem otrzyma obrażenia, ten leczy tyle samo obrażeń u siebie.",
Scenario_JOTL_009_ExplosiveEvolution_Objective_1,Kill the Blood Horror,Tuez l'Horreur de Sang,Tötet den Blutschrecken.,Matar al Horror sangriento.,Zabić Krwawy Koszmar,
Scenario_JOTL_009_ExplosiveEvolution_Modifier_1,The Blood Horror cannot be damaged in any way until all Zealots in the scenario have been killed.,L'Horreur de Sang ne peut subir de dégâts de quelque façon que ce soit tant que tous les Zélotes du scénario n'ont pas été tués.,"Der Blutschrecken kann erst dann Schaden erleiden, wenn alle Fanatiker im Szenario getötet wurden.",No se puede hacer daño de ninguna manera al Horror sangriento hasta que todos los fanáticos del escenario estén muertos.,"Krwawego Koszmaru nie można w żaden sposób uszkodzić, dopóki żyją jacyś Zeloci.",
Scenario_JOTL_010_TheGauntlet_Modifier_1,Traps initally set in the first room affect everyone in its hex and all adjacent hexes.,Les pièges initialement placés dans la première salle affectent tout le monde sur leur hexagone et sur tous les hexagones adjacents.,Fallen im ersten Raum wirken auf alle Figuren auf dem Fallenfeld und allen angrenzenden Feldern.,Las trampas de esta sala afectan a todas las figuras de su hexágono y a todos los hexágonos adyacentes.,Pułapki rozstawione początkowo w pierwszym pomieszczeniu działają na każdego na swoim polu oraz wszystkich sąsiednich polach.,
Scenario_JOTL_010_TheGauntlet_Modifier_2,"At the end of each round, all gas traps in the second room will move one hex in the direction of the arrow tracks in the floor and return to the first hex if any of them would move into the wall.","À la fin de chaque round, tous les pièges à gaz de la deuxième salle avancent d'un hexagone en suivant les flèches visibles au sol. Si jamais l'un d'eux percute le mur, ils retournent au premier hexagone.","Am Ende jeder Runde werden alle Gasfallen im zweiten Raum um ein Feld in Richtung der Pfeile auf dem Boden versetzt. Würden sie mit einer Mauer kollidieren, kehren sie zum ersten Feld zurück.","Al final de cada ronda, las trampas de gas de la segunda sala se moverán un hexágono en la dirección de las flechas marcadas en el suelo y volverán al primer hexágono si cualquiera de ellos se mueve a la pared.","Na koniec każdej rundy wszystkie gazowe pułapki w drugim pomieszczeniu przesuną się o jedno pole w kierunku strzałek na podłodze i powrócą na pole początkowe, jeśli któraś miałaby wjechać w ścianę.",
Scenario_JOTL_010_TheGauntlet_Modifier_3,Traps initally set in the third room will move towards mercenaries at the end of each round.,Les pièges initialement placés dans la troisième salle se déplacent vers les mercenaires à la fin de chaque round.,"Fallen, die zunächst im dritten Raum gestellt wurden, bewegen sich am Ende jeder Runde auf Söldner zu.","Al final de cada ronda, las trampas que estaban inicialmente en la tercera sala, se moverán hacia los mercenarios.",Na koniec każdej rundy pułapki rozstawione początkowo w trzecim pomieszczeniu będą przemieszczać się w stronę najemników.,
Scenario_JOTL_011_DefiledSewers_Modifier_1,The current will force everyone in the central room to move one hex away from the exit at the end of each round.,Le courant oblige tous ceux qui se trouvent dans la salle centrale à s'éloigner de la sortie d'un hexagone à la fin de chaque round.,Die Strömung treibt am Ende jeder Runde alle im zentralen Raum um ein Feld vom Ausgang weg.,"Al final de cada ronda, la corriente obligará a todas las figuras de la sala central a alejarse 1 hexágono de la salida.",Na koniec każdej rundy prąd wody zmusi każdą postać w centralnym pomieszczeniu do przesunięcia się o jedno pole od wyjścia.,
Scenario_JOTL_011_DefiledSewers_Objective_1,Activate the pressure plate,Activez la dalle de pression,Aktiviert die Druckplatte.,Ocupar la placa de presión.,Aktywować płytę naciskową,
Scenario_JOTL_012_BeguilingSewers_Objective_1,Destroy all pillars,Détruisez tous les piliers,Zerstört alle Säulen.,Destruir todas las columnas.,Zniszczyć wszystkie filary,
Scenario_JOTL_012_BeguilingSewers_Pillar,Pillar,Pilier,Säule,Columna,Filar,
Scenario_JOTL_012_BeguilingSewers_Modifier_1,The pillars retaliate when attacked.,Les piliers ripostent quand on les attaque.,"Die Säulen schlagen zurück, wenn sie angegriffen werden.",Las columnas contraatacan.,Filary wykonują odwet po zaatakowaniu.,
Scenario_JOTL_013_VileHarvest_Modifier_1,"At the start of every other round, one Blood Imp will spawn adjacent to the Filthy Sludge if it's alive.","Un round sur deux, au début du round, un Diablotin de Sang apparaît sur un hexagone adjacent à la Vase Crasseuse si cette dernière est en vie.","Zu Beginn jeder zweiten Runde erscheint ein Blutwicht neben dem Schmutzschlick, sofern dieser lebt.","Al comienzo de cada ronda, a partir de la siguiente ronda, aparece 1 Duende sangriento adyacente al Lodo inmundo si este vive.",Na początku co drugiej rundy obok Plugawej Mazi (jeśli ta żyje) pojawia się jeden Chochlik Krwi.,
Scenario_JOTL_013_VileHarvest_Modifier_2,At the start of every other round a Blood Imp will spawn adjacent to this Filthy Sludge.,"Un round sur deux, au début du round, un Diablotin de Sang apparaît sur un hexagone adjacent à cette Vase Crasseuse.",Zu Beginn jeder zweiten Runde erscheint ein Blutwicht neben diesem Schmutzschlick.,"Al comienzo de cada ronda, a partir de la siguiente ronda, aparece 1 Duende sangriento adyacente a este Lodo inmundo.",Na początku co drugiej rundy obok tej Plugawej Mazi pojawi się jeden Chochlik Krwi.,
Scenario_JOTL_014_ToxicHarvest_Modifier_1,"At the start of each round Giant Vipers adjacent to a Zealot will die and spawn one Elite Blood Imp, or two Elite Blood Imps if the Giant Viper was Elite.","Au début de chaque round, les Vipères Géantes adjacentes à un Zélote meurent pour donner naissance à un Diablotin de Sang d'Élite chacune, ou deux pour ce qui est des Vipères Géantes d'Élite.","Zu Beginn jeder Runde sterben Riesenvipern neben einem Fanatiker und erzeugen je einen Elite-Blutwicht, Elite-Riesenvipern erzeugen je zwei.","Al comienzo de cada ronda, las Víboras gigantes adyacentes a un fanático mueren y aparece un Duende sangriento de élite, o bien dos Duendes sangrientos si la Víbora gigante era de élite.","Na początku co drugiej rundy Olbrzymie Żmije sąsiadujące z Zelotą giną przyzywając jednego Elitarnego Chochlika Krwi albo dwa Elitarne Chochliki Krwi, jeśli Olbrzymia Żmija była elitarna.",
Scenario_JOTL_015_TaintedBlood_Objective_1,Destroy all alchemy tables,Détruisez toutes les tables d'alchimie,Zerstört alle Alchemietische.,Destruir todas las mesas de alquimia.,Zniszczyć stoły alchemiczne,
Scenario_JOTL_015_TaintedBlood_Table,Alchemy Table,Table d'alchimie,Alchemietisch,Mesa de alquimia,Stół alchemiczny,
Scenario_JOTL_015_TaintedBlood_Modifier_1,"At the end of each round, Zealots kill one Black Imp within range 3 to spawn a Blood Imp and then Stun themselves.","À la fin de chaque round, les Zélotes tuent un Diablotin Noir à une portée maximale de 3 pour faire apparaître un Diablotin de Sang à la place ; ils subissent alors Étourdissement.","Am Ende jeder Runde töten Fanatiker einen Schwarzwicht in Reichweite 3, erzeugen einen Blutwicht und betäuben sich danach selbst.","Al final de cada ronda, los fanáticos matan a 1 Duende negro a Alcance 3 y aparece 1 Duende sangriento y sufren Aturdimiento.","Na koniec każdej rundy Zeloci zabijają jednego Czarnego Chochlika w zasięgu 3 pól, aby przywołać Krwawego Chochlika i otrzymać OGŁUSZENIE.",
Scenario_JOTL_015_TaintedBlood_Modifier_2,Destroyed alchemy tables will stop spawning Black Imps.,Les tables d'alchimie détruites ne génèrent plus de Diablotins Noirs.,Zerstörte Alchemietische erzeugen keine Schwarzwichte mehr.,Destruir las mesas de alquimia hará que dejen de aparecer Duendes negros.,Zniszczenie stołów alchemicznych powstrzyma pojawienie się Czarnych Chochlików.,
Scenario_JOTL_015_TaintedBlood_Modifier_3,Destroy all alchemy tables in the central room to open the locked doors.,Détruisez toutes les tables d'alchimie de la salle centrale pour ouvrir la porte fermée à clé.,"Zerstört alle Alchemietische im zentralen Raum, um die verschlossenen Türen zu öffnen.",Destruye todas las mesas de alquimia en la sala central para abrir las puertas cerradas.,Zniszczenie wszystkich stołów alchemicznych w centralnym pomieszczeniu otworzy zamknięte drzwi.,
Scenario_JOTL_016_MixedResults_Modifier_1,Rat Monstrosities will spawn a Blood Imp on death instead of dealing damage.,"Au lieu d'infliger des dégâts, les Monstruosités Ratines génèrent un Diablotin de Sang en mourant.","Ratten-Monstrositäten erzeugen bei Tod einen Blutwicht, anstatt Schaden zu verursachen.","Cuando cualquiera de las Monstruosidades roedoras muera, en lugar de infligir daño, aparecerá 1 Duende sangriento.",Szczurze Potworności po śmierci nie zadają obrażeń tylko przywołują Chochlika Krwi.,
Scenario_JOTL_016_MixedResults_Modifier_2,"If a Rat Monstrosity's on-death damage kills anyone, an Elite Black Imp is spawned.","Si une Monstruosité Ratine tue qui que ce soit à l'aide des dégâts qu'elle inflige en mourant, cela fait apparaître un Diablotin Noir d'Élite.","Tötet die Ratten-Monstrosität beim Sterben jemanden mit dem dadurch verursachten Schaden, erzeugt sie einen Elite-Schwarzwicht.","Si alguna figura muere debido al daño sufrido cuando alguna de estas Monstruosidades roedoras muere, aparecerá 1 Duende negro de élite.","Jeśli obrażenia zadawane po śmierci Szczurzej Potworności kogoś zabiją, przywołany zostaje Elitarny Czarny Chochlik.",
Scenario_JOTL_017_RedTwilight_Objective_1,Kill the First of the Order,Tuez le Primat de l'Ordre,Tötet den Ersten des Ordens.,Matar al Primero de la Orden.,Zabić Przełożonego Zakonu,
