Keys,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl]
Quest_SOLO_Elementalist_ElementalSecrets_NAME,Elemental Secrets,Secrets Élémentaires,Elementare Geheimnisse,Secretos elementales,Tajemnice żywiołów
Quest_SOLO_Elementalist_ElementalSecrets_DESC,The Elementalist revisits the Temple of the Elements,L'Élémentaliste retourne au Temple des Éléments,Der Elementarist sucht wieder den Tempel der Elemente auf,El Elementalista regresa al Templo de los Elementos.,Elementalista wraca do Świątyni Żywiołów
Quest_SOLO_Elementalist_ElementalSecrets_List,The Elementalist's Solo Quest,Quête solo de l'Élémentaliste,Soloquest des Elementaristen,Misión en solitario del Elementalista,Solowa misja Elementalisty
Quest_SOLO_Elementalist_ElementalSecrets_INTRO_GH_1,"The study of the elements consumes you. Though the cores in your chest proved your mastery over them, they did not mean the quest for knowledge and power was complete.","L'étude des éléments occupe tout votre temps. Bien que les noyaux que vous avez dans le torse témoignent de votre maîtrise en la matière, ils ne signifient aucunement que votre quête de connaissance et de pouvoir est achevée.","Das Studium der Elemente fesselt dich. Obwohl die Kerne in deiner Brust beweisen, dass du die Elemente beherrschst, heißt das nicht, dass das Streben nach Wissen abgeschlossen ist.","El estudio de los elementos te consume. Si bien los núcleos de tu pecho evidencian tu dominio sobre ellos, no significa que tu búsqueda de conocimiento y de poder haya terminado.","Badanie żywiołów pochłonęło cię całkowicie. Choć rdzenie w twojej piersi pokazują, że masz nad nimi kontrolę, nie oznacza to, że twoje poszukiwania wiedzy i mocy dobiegły końca."
Quest_SOLO_Elementalist_ElementalSecrets_INTRO_GH_2,They marked only the beginning of a much longer journey.,Ils marquent seulement le début d'un plus long voyage.,Sie markieren lediglich der Beginn einer weitaus längeren Reise.,Solo marcan el inicio de un viaje mucho más largo.,To dopiero początek znacznie dłuższej drogi.
Quest_SOLO_Elementalist_ElementalSecrets_INTRO_TRAVEL_1,That journey eventually brought you back to the Temple of the Elements.,"Au bout du compte, ce voyage vous ramène au Temple des Éléments.",Die Reise hat dich schließlich zurück zum Tempel der Elemente geführt.,Ese viaje te acaba llevando de nuevo al Templo de los Elementos.,Droga ta prowadzi cię ostatecznie z powrotem do Świątyni Żywiołów.
Quest_SOLO_Elementalist_ElementalSecrets_INTRO_TRAVEL_2,"After your earlier excursions here, you knew there was more power waiting for you, somewhere in the temple’s depths. And so, you return seeking knowledge.","Vos précédentes visites en ce lieu vous ont appris que, quelque part dans les profondeurs du temple, de nouveaux pouvoirs vous attendaient. Et donc, vous avez décidé de revenir.","Von deinen früheren Besuchen weißt du, dass dort irgendwo in den Tiefen des Tempels noch größere Macht auf dich wartet. Und so kehrst du dorthin zurück, auf der Suche nach Wissen.","Tras tus anteriores viajes aquí, sabías que había poder esperándote en algún lugar de las profundidades de este templo, y es por ello por lo que vuelves en busca de conocimiento.","Po twojej wcześniejszej wyprawie wiesz, że gdzieś w głębi świątyni czeka na ciebie wielka moc. Wracasz więc, aby ją odnaleźć."
Quest_SOLO_Elementalist_ElementalSecrets_INTRO,"After some investigation, you feel a strong pull of elemental energy that draws you to a false wall. Behind it, a set of stairs leads down into the unknown. As you descend, you grow faint with the influx of elemental influence. By the time you reach the bottom, you feel the elements coursing through your veins like they never have before. 

With this power, you are confident you can take on anything, which is good, since you see a number of demons emerge from the shadows ahead of you.","Après quelques recherches, vous sentez une puissante force élémentaire vous attirer vers un faux mur. De l'autre côté, un escalier s'enfonce dans l'inconnu. Vous descendez ses marches, et l'influence élémentaire que vous ressentez est telle que vous en avez la tête qui tourne. Quand vous arrivez en bas, vous sentez l'énergie des éléments courant plus que jamais dans vos veines.
 
 Vous vous dites qu'avec un tel pouvoir, rien ne pourra vous résister, et c'est tant mieux, à en juger par le nombre de démons jaillissant de l'ombre droit devant vous.","Du siehst dich um und fühlst, wie du von einer starken Elementarenergie zu einer Geheimtür gezogen wirst. Hinter ihr führt eine Treppe hinab ins Ungewisse. Du steigst hinab, und der Elementareinfluss droht dich zu überwältigen. Als du unten angekommen bist, spürst du die Elemente in deinen Adern pulsieren wie nie zuvor.
 
 Mit dieser Macht hast du das Gefühl, es mit allem und jedem aufnehmen zu können. Und das ist auch gut so, denn aus den Schatten vor dir tauchen Dämonen auf.","Después de investigar un poco, sientes una energía que te atrae a una pared falsa y, tras ella, unas escaleras que conducen a lo desconocido. A medida que desciendes, el gran influjo de energía elemental te marea. Cuando llegas al final de la escalera, sientes los elementos corriendo por tus venas como nunca lo habían hecho.
 
 Con este poder, tienes la certeza de ser capaz de enfrentarte a cualquier cosa, lo que te viene muy bien, ya que ves cómo varios demonios emergen de las sombras ante ti.","Badając kryptę czujesz silne przyciąganie energii żywiołów, dzięki któremu zauważasz fałszywą ścianę. Za nią znajdują się schody prowadzące w nieznane. Idąc w dół aż uginasz się od wpływu energii żywiołów. Gdy jednak jesteś już na samym dole, jak nigdy przedtem czujesz moc krążącą w twoich żyłach.

Jesteś teraz przekonany, że potrafisz poradzić sobie z każdym zagrożeniem. Dobrze się składa, ponieważ widzisz kilka demonów, które wyłaniają się przed tobą z cieni."
Scenario_SOLO_Elementalist_ElementalSecrets_Success_1,"This energy is indeed potent, allowing you to anticipate your enemies’ moves and destroy them with an efficiency that would not be possible otherwise.","Cette énergie est en effet extrêmement puissante, et elle vous permet d'anticiper les mouvements de vos adversaires et de les détruire avec une plus grande efficacité que d'habitude.",Die Energie ist in der Tat mächtig. Du ahnst die Bewegungen deiner Gegner voraus und kannst sie mit überragender Effizienz ausschalten.,"Indudablemente, esta energía es muy poderosa, pues te permite anticiparte a los movimientos de tus enemigos y destruirlos con una eficiencia que, de otra forma, no te sería posible.","Ta energia jest rzeczywiście potężna. Pozwala przewidzieć ruchy twoich wrogów i zniszczyć ich, zanim cokolwiek zrobią."
Scenario_SOLO_Elementalist_ElementalSecrets_Success_2,"Now that the nexus has been cleared of demons, you stay to study the elemental energy extensively.","Une fois le temple nettoyé de ses démons, vous décidez de rester sur place afin d'étudier plus en détail l'énergie élémentaire.","Nachdem du den Gebäudekomplex von den Dämonen befreit hast, bleibst du noch und studierst ausgiebig die Elementarenergie.","Ahora que has despejado el nexo de demonios, te quedas para estudiar la energía elemental con más detenimiento.","Teraz, gdy świątynia została oczyszczona z demonów, możesz zostać i dokładnie zbadać tę energię."
Quest_SOLO_Elementalist_ElementalSecrets_OUTRO_TRAVEL_1,"It takes days, but eventually you emerge from the temple with an even deeper understanding and appreciation of the elements.","Cela vous prend plusieurs jours, mais au bout du compte, vous finissez par sortir du temple avec une nouvelle compréhension des éléments.",Nach einigen Tagen verlässt du den Tempel mit noch tieferem Verständnis und tieferer Wertschätzung für die Elemente.,"Te lleva días, pero, al final, sales del templo con una nueva apreciación y una comprensión más profunda de los elementos.","Zajęło to wiele dni, ale w końcu opuszczasz świątynię z nową wiedzą i jeszcze większym szacunkiem dla mocy żywiołów."
Quest_SOLO_Elementalist_ElementalSecrets_OUTRO_GH_1,You return to Gloomhaven and use that knowledge to craft equipment that can better harness and convert elemental power.,Vous retournez à Havrenuit et mettez ce nouveau savoir à profit pour modifier votre équipement afin qu'il vous permette de mieux contrôler et convertir la puissance élémentaire.,"Du kehrst nach Gloomhaven zurück, um mit deinem Wissen Ausrüstung zu erschaffen, die die Elementarmächte noch besser wandelt und nutzt.",Regresas a Gloomhaven y plasmas todos esos conocimientos en un equipamiento con el que convertir y encauzar mejor los poderes elementales.,"Wracasz do Gloomhaven i pracujesz nad przekształceniem tej wiedzy w sprzęt, dzięki którym możesz lepiej okiełznać energię żywiołów."
Quest_SOLO_BeastTyrant_TheCagedBear_NAME,The Caged Bear,L'Ours en Cage,Der eingesperrte Bär,El oso enjaulado,Niedźwiedź w klatce
Quest_SOLO_BeastTyrant_TheCagedBear_DESC,The Beast Tyrant explores the wilds,Le Maître des Bêtes explore les contrées sauvages,Der Bestienmeister erkundet die Wildnis,El Señor de las bestias explora la naturaleza salvaje.,Władca Bestii eksploruje dzikie ostępy
Quest_SOLO_BeastTyrant_TheCagedBear_List,The Beast Tyrant's Solo Quest,Quête solo du Maître des Bêtes,Soloquest des Bestienmeisters,Misión en solitario del Señor de las bestias,Solowa misja Władcy Besti
Quest_SOLO_BeastTyrant_TheCagedBear_INTRO_TRAVEL_1,You spend most nights outside Gloomhaven’s walls. You feel much more comfortable among the trees and beasts. The city can be so restrictive. And it stinks.,"Vous passez la plupart de vos nuits à l'extérieur de Havrenuit. Vous vous sentez en effet bien plus à l'aise au milieu des arbres et des bêtes, et les murs de la cité vous donnent la sensation d'être ceux d'une prison. Sans compter que ses rues empestent.",Du verbringst die meisten Nächte außerhalb der Mauern von Gloomhaven. Du fühlst dich in der Natur und bei den Tieren einfach wohler. Die Stadt hat so etwas Beengendes. Und sie stinkt.,Pasas la mayoría de las noches fuera de las murallas de Gloomhaven. Te sientes mucho más cómodo entre los árboles y las bestias. La ciudad puede ser muy restrictiva. Y apesta.,"Większość nocy spędzasz otoczony murami Gloomhaven. Czujesz się o wiele lepiej wśród drzew i zwierząt. Miasto cię ogranicza, a przede wszystkim śmierdzi."
Quest_SOLO_BeastTyrant_TheCagedBear_INTRO_TRAVEL_2,You wake in the middle of the night to the sound of a howling wolf. But it is no ordinary howl—the animal is in distress.,Le hurlement d'un loup vous réveille au beau milieu de la nuit. Mais il n'a rien de naturel. Le pauvre animal a besoin d'aide.,Mitten in der Nacht weckt dich das Geheul eines Wolfs. Es ist kein gewöhnliches Heulen - das Tier ist in Not.,El aullido de un lobo te despierta en medio de la noche. Pero no es un aullido convencional: el animal se encuentra en peligro.,W środku nocy obudziło cię wycie wilka. Ale to nie jest zwykłe wycie - zwierzę jest w niebezpieczeństwie.
Quest_SOLO_BeastTyrant_TheCagedBear_INTRO_TRAVEL_3,You call upon your bear and head towards the troubling call.,"Appelant votre ours, vous vous dirigez sans perdre un instant dans la direction du bruit.",Du rufst deinen Bären und ihr geht dem Heulen entgegen.,Llamas a tu oso y te diriges al lugar de donde viene la llamada.,Wzywasz swojego niedźwiedzia i kierujesz się w stronę niepokojącego skowytu.
Quest_SOLO_BeastTyrant_TheCagedBear_INTRO,"""That’s far enough!"" Your search is cut short by the voice of another Vermling. You stop and peer into the darkness, making out the forms of many animals on the far edge of a clearing. The Vermling steps out from among them.

""The wilderness has deemed you a traitor, and has tasked me with destroying you."" You begin to object, but the Vermling yells over you. ""You spend your powers helping that blight of a city instead of destroying it! The city is a scar upon the land, and it needs to be healed!""

""Your actions have made you unfit to wield nature’s force, and you are thus sentenced to death!"" She raises a staff, and you feel the earth give way beneath you.

You hit the ground hard, and as the moonlight streams into the underground cavern through the rubble, you do not see your bear. 

It is close... you can feel it... but you’ll have to fare on your own for a while. This is all the more troubling with the realization that there is still a beast in the cave with you. It is just not friendly.","« Plus un pas ! » Vos recherches sont interrompues par la voix d'une autre Vermling. Vous vous arrêtez pour scruter l'obscurité, jusqu'à apercevoir la silhouette de nombreux animaux en bordure d'une clairière. La Vermling apparaît parmi eux.
 
 « Les contrées sauvages vous considèrent comme un traître, et elles m'ont chargée de vous tuer. » Vous tentez de protester, mais la Vermling se met à hurler pour vous empêcher de parler. « Vous utilisez vos pouvoirs pour aider cette cité maudite au lieu de la détruire ! Cette dernière est une balafre qui fait souffrir la terre, il faut la soigner ! »
 
 « Vos actes vous rendent indigne d'utiliser la force de la nature, aussi avez-vous été condamné à mort ! » Elle brandit son bâton et vous sentez le sol se dérober sous vos pieds.
 
 Vous chutez lourdement et, quand la poussière retombe et que la lumière de la lune vous révèle la caverne souterraine dans laquelle vous vous retrouvez, vous ne voyez pas votre ours à côté de vous.
 
 Il est tout près, vous le sentez, mais vous allez devoir vous débrouiller sans lui pendant un moment. Ce qui est d'autant plus préoccupant, car vous sentez qu'il y a une autre créature dans cette caverne avec vous... et elle n'a rien d'amical.","""Das ist weit genug!"" Die Stimme einer anderen Ratze unterbricht deine Suche. Du hältst an und blickst forschend in die Dunkelheit. Vage erkennst du die Gestalt vieler Tiere am Rande einer Lichtung. Die Ratze tritt aus der Menge hervor.
 
 ""Die Wildnis erachtet dich als Verräter und hat mich damit beauftragt, dich zu vernichten."" Du willst widersprechen, doch die Ratze übertönt dich: ""Du nutzt deine Mächte, um dieser Pestbeule von Stadt zu helfen, anstatt sie zu zerstören! Die Stadt ist eine klaffende Wunde im Land. Sie muss getilgt werden!
 
 Aufgrund deiner Handlungen bist du der Mächte der Natur nicht mehr würdig und wirst zum Tode verurteilt!"" Sie hebt einen Stab, und du spürst, wie der Boden unter dir nachgibt.
 
 Der Aufprall raubt dir den Atem. Obwohl Mondlicht das Geröll in der Höhle erhellt, in die du gestürzt bist, kannst du deinen Bären nirgendwo sehen.
 
 Er ist nah, das kannst du spüren ... aber du musst vorerst allein klarkommen. Was umso ungünstiger ist, da du bemerkst, dass noch ein anderes Tier in der Höhle ist. Und kein freundliches.","—¡Basta! —la voz de otra infestora interrumpe tu búsqueda. Te detienes y observas la oscuridad, en la que distingues las formas de varios animales en la zona más alejada de un claro. La infestora sale de entre ellos.
 
 —La naturaleza te considera un traidor y me ha encargado que te destruya —te dice y, cuando empiezas a objetar, la infestora eleva la voz por encima de la tuya—. ¡Utilizas tu poder para ayudar a esa plaga de la ciudad en lugar de para destruirla! La ciudad es una herida en la tierra, ¡y debemos curarla! Tus acciones te han hecho indigno de blandir la fuerza de la naturaleza ¡y eso te sentencia a muerte!
 
 La infestora levanta un bastón y sientes cómo la tierra cede bajo tus pies. Caes fuertemente contra el suelo, pero, a pesar de que la luz de la luna entra en la caverna subterránea a través del agujero, no ves a tu oso.
 
 Está cerca, puedes sentirlo, pero, de momento, tendrás que arreglártelas tú solo. Y toda esta situación se vuelve aún más problemática cuando te percatas de que, aunque sí que hay una bestia en la caverna contigo, no parece precisamente amistosa.","„Ani kroku dalej!“ - słyszysz głos innego szczuroka. Zatrzymujesz się i dostrzegasz w ciemności cienie wielu zwierząt na skraju polany. Spośród nich wychodzi szczurok.

„Natura uznała cię za zdrajcę i kazała mi cię zniszczyć.“ Zaczynasz protestować, ale szczurok krzyczy jeszcze głośniej. „Używasz swojej mocy, by pomagać temu parszywemu miastu zamiast je niszczyć! Miasto jest skazą na ziemi, a skazę trzeba usunąć!“

„Twoje czyny pokazały, że nie jesteś godzien władać siłami natury, przez co zostajesz skazany na śmierć!“ Podnosi kostur, a ziema rozstępuje się pod twoimi nogami.

Z impetem uderzasz o ziemię. Przez wyrwę w ziemi do podziemnej jaskini dociera tylko światło księżyca, a ty nigdzie nie widzisz swojego niedźwiedzia.

Jest blisko, czujesz to, ale przez jakiś czas musisz radzić sobie sam. Tym bardziej niepokoi cię fakt, że w jaskini przebywa z tobą jakaś bestia. Nie jest przyjaźnie nastawiona."
Scenario_SOLO_BeastTyrant_TheCagedBear_Room_2_1,"The words of the rival Vermling echo in your mind, but you simply cannot believe them. And even if you did, you certainly wouldn’t go down without a fight. You press on into the darkness.","Les paroles de la Vermling rivale résonnent dans votre esprit, mais vous refusez de la croire. Et même dans le cas contraire, vous ne vous laisseriez pas vaincre sans combattre. Vous vous enfoncez dans les ténèbres.","Die Worte der anderen Ratze hallen in deinem Kopf wider, aber du kannst nicht glauben, was du gehört hast. Und selbst wenn, gibst du dich ganz sicher nicht kampflos geschlagen. Du wagst dich weiter in die Dunkelheit vor.","Las palabras de la infestora rival siguen sonando en tu mente, pero eres incapaz de creértelas. E incluso aunque lo hicieras, no te rendirías sin luchar, así que te adentras en la oscuridad.","Słowa wrogiego szczuroka kłębią się w twojej głowie, ale po prostu nie możesz w nie uwierzyć. Nawet jeśli jest tak, jak mówi, to nie poddasz się bez walki. Wkraczasz w ciemność."
Scenario_SOLO_BeastTyrant_TheCagedBear_Room_3_1,"As you are forced to slay more and more beasts in your efforts to be free of this prison, your anger grows. This is madness and cannot be the will of nature.","Alors que vous êtes forcé d'abattre de plus en plus de bêtes pour vous frayer un chemin hors de cette prison, votre colère monte. C'est de la folie, la nature ne peut pas vouloir une telle chose.","Während du mehr und mehr Tiere töten musst, um dich aus deinem Gefängnis zu befreien, wächst dein Zorn. Das ist widersinnig und kann nicht der Wille der Natur sein.","A medida que, por pura necesidad, asesinas a más y más bestias en un esfuerzo por librarte de esta prisión, tu ira aumenta. Todo esto es una locura, no puede ser la voluntad de la naturaleza.",Próbując uwolnić się z tego więzienia jesteś zmuszony zabijać coraz więcej bestii. Twój gniew rośnie. To szaleństwo nie może być wolą natury.
Scenario_SOLO_BeastTyrant_TheCagedBear_Room_3_2,"Despite your work as a mercenary, you have always put your dedication to the wilderness first. You will find this treacherous Vermling and make her answer for her lies.","Bien qu'étant un mercenaire, la défense de la nature a toujours été votre priorité absolue. Vous allez retrouver cette Vermling félonne, et elle devra répondre de ses mensonges.",Für dich stand trotz deiner Arbeit als Söldner immer die Wildnis an erster Stelle. Du wirst diese verlogene Ratze finden und sie für ihre Lügen bezahlen lassen.,"A pesar de tu trabajo como mercenario, siempre has puesto tu dedicación a la Madre Tierra por delante. Encontrarás a esa infestora traicionera y harás que pague por sus mentiras.","Pomimo pracy najemnika, zawsze stawiasz naturę na pierwszym miejscu. Znajdziesz tego zdradzieckiego szczuroka i poznasz prawdę."
Scenario_SOLO_BeastTyrant_TheCagedBear_Room_4_1,You see a light up ahead... a way out of this cavernous prison... but you also see the object of your burning rage... the Vermling who sent you down here.,"Vous apercevez une lumière droit devant... la sortie de cette prison caverneuse ? Mais vous voyez également l'objet de votre rage brûlante, la Vermling qui vous a fait tomber ici.","Du siehst Licht voraus ... einen Weg aus deinem Höhlengefängnis ... aber du siehst auch das Ziel deiner brennenden Wut: die Ratze, die dich an diesen Ort gebracht hat.","Ves una luz más adelante, una salida a esta prisión cavernosa. Pero también el origen de tu furia creciente: la infestora que te trajo aquí.","Widzisz światło dobiegające z wyjścia jaskini, ale widzisz także obiekt twej wściekłości - szczuroka, który cię tu ściągnął."
Scenario_SOLO_BeastTyrant_TheCagedBear_Room_4_2,"""Even when your power forsakes you, you still have the determination to fight through my beasts and stand before me,"" she says. ""How futile.""","« Même quand ton pouvoir t'abandonne, tu trouves la détermination de combattre mes bêtes et de te dresser face à moi, fait-elle. Ne vois-tu pas comme c'est futile ? »","""Obwohl deine Kräfte dich verlassen, bist du entschlossen, dich durch meine Tiere zu kämpfen und mir entgegenzutreten"", bemerkt sie. ""Wie sinnlos.""","—Incluso cuando el poder te abandona, tienes la determinación de luchar con mis bestias y plantarme cara —dice—. Qué vano esfuerzo.","„Nawet gdy twoja moc cię opuściła, ty wciąż masz siłę, by walczyć ze mną i moimi bestiami“ - mówi. „To nie ma sensu.“"
Scenario_SOLO_BeastTyrant_TheCagedBear_Room_4_3,"There is much you wish to say to this liar, but it all comes out as a single primal yell, with the full force of nature behind it.","Il y a tant de choses que vous souhaitez dire à cette menteuse, mais les mots se transforment en un rugissement primaire qui sort de vos poumons avec toute la force de la nature.","Du hast dieser Lügnerin viel zu sagen, aber alles, was aus dir herausbricht, ist ein von der Kraft der Natur erfülltes Gebrüll.","Te gustaría decirle muchas cosas a esta embustera, pero todo ello explota en un primitivo grito que contiene toda la fuerza de la naturaleza.","Jest wiele rzeczy, które chciałbyś powiedzieć temu kłamcy, ale wydajesz z siebie jedynie pierwotny ryk, wzmocniony pełną siłą natury."
Scenario_SOLO_BeastTyrant_TheCagedBear_Room_4_4,You see the fear in your enemy’s eyes as you charge forward with your bear at your side.,"Vous voyez la peur naître dans les yeux de votre ennemie alors que vous chargez dans sa direction, votre ours à vos côtés.","Du siehst die Furcht in den Augen deiner Gegnerin, als du dich mit deinem Bären an deiner Seite auf sie stürzt.",Ves el miedo en los ojos de tu enemiga mientras cargas contra ella con tu oso a tu lado.,"Widzisz strach w oczach wroga, gdy szarżujesz naprzód ze swoim niedźwiedziem przy boku."
Scenario_SOLO_BeastTyrant_TheCagedBear_Success_1,You stand over the corpse of the Vermling and spit. Clearly your powers have not left you. You have proven that definitively.,"Toisant le corps de la Vermling avec mépris, vous lui crachez au visage. Vos pouvoirs ne vous ont pas abandonné, vous venez de lui en donner la preuve éclatante.",Du stehst über der Leiche der Ratze und spuckst. Deine Kräfte haben dich nicht verlassen. Das hast du definitiv bewiesen.,Te plantas al lado del cadáver de la infestora y escupes. Está claro que tus poderes no te han abandonado,Spluwasz na martwego szczuroka. Najwyraźniej twoje moce cię nie opuściły.
Scenario_SOLO_BeastTyrant_TheCagedBear_Success_2,"You pry the staff she was using out of her dead hands and then leave her there to rot. The corpse will feed the earth and, in time, create life once again.","Vous arrachez à ses mains mortes le bâton qu'elle utilisait et la laissez pourrir ici. Son cadavre nourrira la terre et, à force, il créera de nouveau la vie.","Du zerrst den Stab aus ihren toten Händen und lässt sie zurück. Ihre Leiche wird die Erde nähren, und irgendwann wird neues Leben daraus entspringen.","Le arrancas de sus manos muertas la vara que estaba usando y luego dejas ahí su cadáver para que se pudra. Sus restos alimentarán la tierra y, a su debido tiempo, crearán vida de nuevo.","Zabierasz kostur, którego używał i zostawiasz ciało by zgniło. Zwłoki będą żywić ziemię i za jakiś czas ponownie stworzą życie."
,,#N/A,#N/A,#N/A,
Scenario_SOLO_Tinkerer_AnUnfortunateIntrusion_Objective_1,Protect at least one City Guard,Protégez au moins un Garde de la Cité,Schütze mindestens eine Stadtwache.,Protege al menos a uno de los guardias de la ciudad.,Ochroń przynajmniej jednego Strażnika Miejskiego
Scenario_SOLO_Tinkerer_AnUnfortunateIntrusion_Objective_2,Survive twelve Rounds,Survivez pendant 12 rounds,Überlebe zwölf Runden lang.,Sobrevive durante doce rondas.,Przetrwaj 12 rund
Scenario_SOLO_Mindthief_RodentLiberation_Modifier_1,"Opening the door to the second room caused the Mindthief 5 damage and <nobr>POISON <sprite name=Poison></nobr>.
At the end of each round the Mindthief gains <nobr>POISON <sprite name=Poison></nobr>, if the Mindthief is already poisoned they suffer 3 damage instead.
This effect ends once all altars have been destroyed","L'ouverture de la porte de la deuxième pièce a fait subir 5 dégâts et <nobr>EMPOISONNEMENT <sprite name=Poison></nobr> à la Perce-Esprit.
 À la fin de chaque round, la Perce-Esprit subit <nobr>EMPOISONNEMENT <sprite name=Poison></nobr>, sauf si elle est déjà empoisonnée, auquel cas elle subit 3 dégâts à la place.
 Cet effet s'achève une fois que tous les autels ont été détruits.","Die offene Tür zum zweiten Raum bewirkt 5 Schaden sowie <nobr>GIFT <sprite name=Poison></nobr> bei der Gedankendiebin.
 Am Ende jeder Runde erhält die Gedankendiebin <nobr>GIFT <sprite name=Poison></nobr>. Ist sie bereits vergiftet, erleidet sie stattdessen 3 Schaden.
 Der Effekt endet, wenn alle Altäre zerstört wurden.","Al abrir la puerta de la segunda sala, la Ladrona mental sufre 5 puntos de daño y <nobr>VENENO <sprite name=Poison></nobr>.
 Al final de cada ronda, la Ladrona mental sufre <nobr>VENENO <sprite name=Poison></nobr>. Si ya está envenenada, en vez de eso sufre 3 puntos de daño.
 Este efecto acaba cuando todos los altares hayan sido destruidos.","Otwarcie drzwi w drugim pomieszczeniu zadało Myślołapce 5 obrażeń oraz spowodowało <nobr>ZATRUCIE <sprite name=Poison></nobr>.
Na koniec każdej rundy Myślołapka otrzymuje <nobr>ZATRUCIE <sprite name=Poison></nobr>. Jeśli ma już zatrucie, zamiast tego otrzymuje 3 obrażenia.
Efekt ten znika po zniszczeniu wszystkich ołtarzy"
Scenario_SOLO_Mindthief_RodentLiberation_Objective_1,Destroy all Vermling Altars,Détruisez tous les autels Vermlings,Zerstöre alle Ratzenaltäre.,Destruye todos los altares de los infestores.,Zniszcz wszystkie Ołtarze Szczuroków
Scenario_SOLO_Mindthief_RodentLiberation_Altar,Vermling Altar,Autel Vermling,Ratzenaltar,Altar de los infestores,Ołtarz Szczuroków
Scenario_SOLO_Berserker_UnnaturalInstincts_Objective_1,Kill the Inox Necromancer,Tuez le Nécromancien Inox,Töte den Inox-Nekromanten.,Mata al nigromante inox.,Zabij Inoksa Nekromantę
Scenario_SOLO_Soothsinger_BattleOfTheBards_Objective_1,Kill the Song of the Deep,Tuez le Chant des Profondeurs,Töte Tiefenlied.,Mata a la Canción de las profundidades.,Zabij Pieśń Otchłani
Scenario_SOLO_Doomstalker_CorruptedHunt_Modifier_1,The Ghost Wolf gains invisible at the start of each round,L'Esprit du Loup gagne Invisibilité au début de chaque round,Der Geisterwolf erhält am Anfang jeder Runde Unsichtbar.,El Lobo fantasma se vuelve invisible al comienzo de cada ronda.,Zjawa Wilka otrzymuje niewidzialność na początku każdej rundy
Scenario_SOLO_Doomstalker_CorruptedHunt_Modifier_2,All Giant Vipers add <nobr>+1 Attack <sprite name=Attack></nobr> to all their Attacks,Toutes les Vipères Géantes ajoutent <nobr>+1 en Attaque <sprite name=Attack></nobr> à toutes leurs attaques,Alle Riesenvipern fügen all ihren Angriffen <nobr>+1 Angriff <sprite name=Attack></nobr> hinzu.,Todas las Víboras gigantes añaden <nobr>Ataque <sprite name=Attack> +1</nobr> a todos sus ataques.,Wszystkie Olbrzymie Żmije dodają <nobr>+1 do Ataku <sprite name=Attack></nobr> dla wszystkich swoich ataków
Scenario_SOLO_Doomstalker_CorruptedHunt_Modifier_3,"The High Flame increases it's Retaliate, Retaliate Range and Shield by 2","La Haute Flamme gagne +2 en Riposte, Portée de riposte et Bouclier","Die Hochflamme erhöht ihre Vergeltung, ihre Vergeltungsreichweite und ihren Schild um 2.","La Llama suprema aumenta en 2 su Represalia, Alcance de Represalia y Escudo.","Ogniorodny zwiększa swój Odwet, Zasięg Odwetu oraz Tarczę o 2"
Scenario_SOLO_Sawbones_Aftermath_Objective_1,Save all wounded allies,Sauvez tous les alliés blessés,Rette alle verletzten Verbündeten.,Salva a todos los aliados heridos.,Uratuj wszystkich rannych sojuszników
Scenario_SOLO_Sawbones_Aftermath_Objective_2,Lose if any City Guard dies,Vous perdez si un Garde de la Cité meurt,"Du verlierst, wenn eine Stadtwache stirbt.",Perderás si muere un guardia de la ciudad.,"Przegrana, jeśli zginie jakiś Strażnik Miejski"
Scenario_SOLO_Sawbones_Aftermath_Objective_3,Lose if the Lieutenant is not saved in 10 rounds,Vous perdez si le Lieutenant n'est pas sauvé en 10 rounds,"Du verlierst, wenn der Leutnant nicht in zehn Runden gerettet ist.",Perderás si no salvas al teniente en 10 rondas.,"Przegrana, jeśli Porucznik nie zostanie uratowany w ciągu 10 rund"
Scenario_SOLO_Sawbones_Aftermath_Modifier_1,All revealed City Guards suffer 1 damage at the end of the round. To save an ally fully heal them,"Tous les Gardes de la Cité révélés subissent 1 dégât à la fin du round. Pour sauver un allié, il faut le soigner totalement","Alle enttarnten Stadtwachen erleiden am Ende der Runde 1 Schaden. Heile Verbündete vollständig, um sie zu retten.","Todos los guardias de la ciudad revelados sufren 1 punto de daño al final de la ronda. Para salvar a un aliado, cúralo por completo.","Wszyscy ujawnieni Strażnicy Miejscy otrzymują 1 obrażenie na koniec rundy. Aby uratować sojusznika, przywróć ma całe zdrowie"
Scenario_SOLO_Sawbones_Aftermath_Modifier_2,If you give an ally a Medical Pack they will immediately use it to heal,"Si vous donnez une Malette de Premiers Soins à un allié, il s'en sert immédiatement pour se soigner","Gibst du einem Verbündeten ein Medizinbündel, nutzt er es sofort, um sich zu heilen.","Si le das a un aliado un Equipo de curación, lo usará inmediatamente para curarse.","Jeśli dasz sojusznikowi Zestaw Medyczny, natychmiast użyje go, aby się wyleczyć"
Scenario_SOLO_Sawbones_Aftermath_Debris,Debris,Gravats,Trümmer,Escombros,Szczątki
